obra_cod;obra_descricao;Marca;Regional;Carteira;VGV;Data
8474;PARQUE CANOAS ALLEGRO;LIVING;Sul;193606,02;14871229,96;30/04/2021
8480;VIVARE GRAND CLUB;LIVING;Sul;39420,43;39420,43;30/04/2021
8485;THE SUN;LIVING;Sul;20986,23;243186,04;30/04/2021
8496;CONDOMINIO LUME GIORNO;CYRELA;São Paulo;523330,82;280004731,7;30/04/2021
8497;VIVAZ SOCORRO;VIVAZ;São Paulo;24370867,88;24370867,88;30/04/2021
8510;INFINITY PRIME OFFICES;CYRELA;Sul;29189,21;2904864,89;30/04/2021
8511;LIVING GRAND WISH NOVA CAMPINAS;LIVING;São Paulo;91348561,17;91348561,17;30/04/2021
8520;VIVAZ VILA ROMANA;VIVAZ;São Paulo;31830204,44;31830204,44;30/04/2021
8541;GALLERIA MOOCA;CYRELA;São Paulo;65330,16;241449425;30/04/2021
8586;CENÁRIO LINDÓIA;CYRELA;Sul;6278,28;6278,28;30/04/2021
8587;LIBER RESIDENCIAL CLUB;LIVING;Rio de Janeiro;221547,18;191893109,2;30/04/2021
8589;GRAN VITA;CYRELA;Sul;511570,46;2807963,42;30/04/2021
8622;RESERVA MORUMBI;LIVING;São Paulo;2009686,34;150873969,8;30/04/2021
8646;ALEGRO MONTE NEGRO - FASE N/L;CYRELA;Norte;7502080,37;7502080,37;30/04/2021
8658;ON;CYRELA;Rio de Janeiro;98374565,16;156274536,2;30/04/2021
8663;FAROL DA ILHA CONDOMINIO CLUBE;CYRELA;Norte;5401839,3;609596692,6;30/04/2021
8665;PODIUM VILA LEOPOLDINA;CYRELA;São Paulo;5639,34;389257300,8;30/04/2021
8676;THE ARCH;CYRELA;Sul;28231593,54;28231593,54;30/04/2021
8685;THERA OFFICE - SETOR B;CYRELA;São Paulo;520083,5;297396477,4;30/04/2021
8686;RISERVA UNIDADES 15%;CYRELA;Rio de Janeiro;664701,85;1043666,48;30/04/2021
8687;PLACE ROYALE;CYRELA;São Paulo;421461,58;311536061,4;30/04/2021
8688;PRIME;CYRELA;Sul;29513777,04;29513777,04;30/04/2021
8695;IVO UGHINI;LIVING;Sul;4073310,54;5379193;30/04/2021
8722;LIVING UNIQUE;LIVING;São Paulo;62888600,91;62888600,91;30/04/2021
8728;PATEO LINDÓIA;CYRELA;Sul;299003,97;299003,97;30/04/2021
8732;MUDRA FULL LIVING;CYRELA;Rio de Janeiro;29365762,48;29365762,48;30/04/2021
8751;LINDÓIA SQUARE;CYRELA;Sul;109594,31;2460446,11;30/04/2021
8753;VILLA MIMOSA;CYRELA;Sul;325240,8;4258710,65;30/04/2021
8784;CAMINO LíRIO;CYRELA;São Paulo;434616,06;157758228,7;30/04/2021
8839;MENARA RESIDENCIAL;CYRELA;São Paulo;67765,78;67765,78;30/04/2021
8858;THERA RESIDENCE - SETOR A;CYRELA;São Paulo;3360892,92;377110865,4;30/04/2021
8872;WAY PENHA;LIVING;São Paulo;515702,42;515702,42;30/04/2021
8874;ITATIAIA ALDEIA PARQUE;CYRELA;ES;1129937,78;2006436,29;30/04/2021
8879;VIVAZ RAMOS;VIVAZ;Rio de Janeiro;46200050,77;46200050,77;30/04/2021
8887;LIVING VILA MARIANA;LIVING;São Paulo;68349264,44;68349264,44;30/04/2021
8901;RISERVA SCHIAVON;CYRELA;Sul;1007660,47;5148871,28;30/04/2021
8906;VITORIA;LIVING;São Paulo;95769,73;54876580,3;30/04/2021
8907;LE PARC SALVADOR;CYRELA;Nordeste;12845614,5;12845614,5;30/04/2021
8965;BELLISSIMO;CYRELA;São Paulo;127232,23;192008379,7;30/04/2021
8998;CLUB HOUSE;CYRELA;São Paulo;205454,39;168656156;30/04/2021
9035;NOVO PORTINHO;CYRELA;Rio de Janeiro;696472,89;84276802,58;30/04/2021
9037;RESERVA DO PARQUE;CYRELA;Rio de Janeiro;1100279,48;1084269692;30/04/2021
9055;360 ON THE PARK;CYRELA;Rio de Janeiro;13420338,62;766015763,3;30/04/2021
9057;GOLDEN TIJUCA;CYRELA;Rio de Janeiro;2269561,38;106688642,8;30/04/2021
9060;MAJESTIC;CYRELA;Rio de Janeiro;9344447,39;854008706,9;30/04/2021
9062;MAAYAN;CYRELA;Rio de Janeiro;4526361,18;941012883,3;30/04/2021
9078;LIVING VISION;LIVING;São Paulo;41498421,82;41498421,82;30/04/2021
9109;JARDIM DE LOMBARDIA;CYRELA;Norte;520501,42;118083809,8;30/04/2021
9110;JARDIM DE TOSCANA;CYRELA;Norte;1093277,88;167545492,9;30/04/2021
9111;ESCRITÓRIOS MORUMBI PRIME;CYRELA;São Paulo;53101,81;168661723,6;30/04/2021
9112;VIDAMERICA CLUBE RESIDENCIAL;LIVING;Rio de Janeiro;11905190,51;11905190,51;30/04/2021
9123;LE PALAIS BOTAFOGO;CYRELA;Rio de Janeiro;1655047,11;331714446,5;30/04/2021
9125;GOLF VILLAGE;CYRELA;Rio de Janeiro;1216259,48;147301507,4;30/04/2021
9126;RISERVA UNO;CYRELA;Rio de Janeiro;7443219,31;946808783,2;30/04/2021
9127;SAINT BARTH;CYRELA;Rio de Janeiro;2507280,67;1095826465;30/04/2021
9129;LANAI;CYRELA;Rio de Janeiro;3010,9;234395239,8;30/04/2021
9132;FRONT LAKE;CYRELA;Rio de Janeiro;261297,91;193075386,3;30/04/2021
9133;SAINT MARTIN;CYRELA;Rio de Janeiro;2997689,7;774971697,4;30/04/2021
9134;VIVAZ DEL CASTILHO;CYRELA;Rio de Janeiro;568659,78;339106866,2;30/04/2021
9138;COSMOPOLITAN WORK STYLE;CYRELA;Rio de Janeiro;615955,59;65722888,15;30/04/2021
