null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-03T21:35:31.155Z,"[20,150]",,,
20,AlmapBBDO,"[500,600]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-04T04:25:36.382Z,"[20,150]",male,Comunicação Social - Publicidade e Propaganda | UNIP,Estagiário de Publicidade
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-04T11:28:53.569Z,"[20,150]",,,
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-04T16:44:42.331Z,"[20,150]",,,
27,Autônoma,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-05T16:17:45.913Z,"[20,150]",female,Ufla,Vet
20,bern,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-05T13:53:06.625Z,"[20,150]",female,,studentin
22,Hustle,"[500,10000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-06T13:31:52.486Z,"[20,150]",male,Análise e desenvolvimento de Sistemas / IFPi,Desenvolvedor
35,RCKT,"[1500,4000]","[-46.6346381,-23.589702]",Vila Mariana,Point,apartment,2020-03-06T15:05:17.794Z,"[20,150]",male,Arquitetura - USP,Designer
31,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-06T17:51:54.234Z,"[20,500]",female,,
null,,"[500,8500]","[-46.6333094,-23.5505199]",São Paulo,Point,home,2020-03-07T17:47:43.042Z,"[20,289]",,,
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-09T17:08:11.254Z,"[20,150]",,,
35,VCI SA,"[500,3600]","[-46.67294829999999,-23.5734145]",Jardins,Point,apartment,2020-03-11T01:30:40.459Z,"[20,150]",male,Turismo,Turismóloga
24,Vci SA,"[500,5000]","[-46.6346381,-23.589702]",Vila Mariana,Point,apartment,2020-03-11T01:02:02.851Z,"[20,150]",female,Centro universitário Senac,Empresaria
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-03-11T01:12:07.185Z,"[20,150]",,,
